advisory_number,name,advisory_datetime,actual,current,alertcolor,country,latitude,longitude,wind_speed,wind_gusts,pressure,pop,pop39,pop74,popstormsurge,alertscore,windrad_nm_34kt_ne,windrad_nm_34kt_se,windrad_nm_34kt_sw,windrad_nm_34kt_nw,windrad_nm_50kt_ne,windrad_nm_50kt_se,windrad_nm_50kt_sw,windrad_nm_50kt_nw,windrad_nm_64kt_ne,windrad_nm_64kt_se,windrad_nm_64kt_sw,windrad_nm_64kt_nw,storm_status
1,FOUR-26,2026-04-09 00:00:00,True,false,GREEN,,8.7,152.1,12.86,18.004,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tropical Depression
2,FOUR-26,2026-04-09 06:00:00,True,false,GREEN,,8.1,152.1,15.432,20.576,0,34500,37915,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tropical Depression
3,FOUR-26,2026-04-09 12:00:00,True,false,GREEN,,8.1,151.8,15.432,20.576,0,37062,42028,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Tropical Depression
4,SINLAKU-26,2026-04-09 18:00:00,True,false,GREEN,,8.4,151.6,18.004,23.148,0,2907,41585,0,0,1,80,50,70,90,0,0,0,0,0,0,0,0,Tropical Storm
5,SINLAKU-26,2026-04-10 00:00:00,True,false,GREEN,,8.2,151.2,20.576,25.72,0,2938,47277,0,0,1,120,70,70,120,0,0,0,0,0,0,0,0,Tropical Storm
6,SINLAKU-26,2026-04-10 06:00:00,True,false,GREEN,,8.2,151.0,23.148,28.292,0,1444,47277,0,0,1,120,70,70,120,0,0,0,0,0,0,0,0,Tropical Storm
7,SINLAKU-26,2026-04-10 12:00:00,True,false,GREEN,,8.1,150.9,28.292,36.008,0,1278,43592,0,0,1,80,100,120,50,0,50,50,0,0,0,0,0,Tropical Storm
8,SINLAKU-26,2026-04-10 18:00:00,True,false,GREEN,,8.0,151.0,30.864,38.58,0,7062,42572,0,0,1,80,100,120,50,0,50,50,0,0,0,0,0,Tropical Storm
9,SINLAKU-26,2026-04-11 00:00:00,True,false,GREEN,,8.5,151.5,38.58,46.296,0,2707,42838,2346,0,1,160,140,145,130,85,75,80,70,45,40,40,30,Hurricane/Typhoon > 74 mph
10,SINLAKU-26,2026-04-11 06:00:00,True,false,GREEN,,8.8,151.4,41.152,51.44,0,2346,42838,2239,0,1,160,140,145,130,85,75,80,70,45,40,40,30,Hurricane/Typhoon > 74 mph
11,SINLAKU-26,2026-04-11 12:00:00,True,false,GREEN,,9.0,151.1,43.724,54.012,0,1622,47277,13,0,1,215,145,145,130,85,75,80,70,45,40,40,30,Hurricane/Typhoon > 74 mph
12,SINLAKU-26,2026-04-11 18:00:00,True,false,GREEN,,9.3,151.5,48.868,59.156,0,1471,47277,0,0,1,215,145,145,175,85,75,85,100,45,40,40,30,Hurricane/Typhoon > 74 mph
13,SINLAKU-26,2026-04-12 00:00:00,True,false,GREEN,,9.9,151.2,56.584,69.444,0,0,42838,0,0,1,215,180,200,180,85,90,105,100,40,50,30,35,Hurricane/Typhoon > 74 mph
14,SINLAKU-26,2026-04-12 06:00:00,True,false,GREEN,,10.3,150.6,66.872,82.304,0,0,42129,0,0,1,215,180,200,180,85,90,105,100,40,50,30,35,Hurricane/Typhoon > 74 mph
15,SINLAKU-26,2026-04-12 12:00:00,True,false,GREEN,,11.1,150.2,77.16,92.592,0,0,22683,0,0,1,240,180,185,180,85,90,105,100,40,50,30,35,Hurricane/Typhoon > 74 mph
16,SINLAKU-26,2026-04-12 18:00:00,True,false,GREEN,Northern Mariana Islands,11.6,149.5,79.732,97.736,0,0,231261,0,0,1,240,180,185,180,85,90,105,100,45,50,30,35,Hurricane/Typhoon > 74 mph
17,SINLAKU-26,2026-04-13 00:00:00,True,false,GREEN,Northern Mariana Islands,12.2,148.9,79.732,97.736,0,0,227148,0,0,1,240,180,185,180,85,90,135,90,70,70,45,55,Hurricane/Typhoon > 74 mph
18,SINLAKU-26,2026-04-13 06:00:00,True,false,GREEN,Northern Mariana Islands,12.7,148.0,77.16,92.592,0,0,225517,0,0,1,240,180,185,180,85,90,135,90,70,70,45,55,Hurricane/Typhoon > 74 mph
19,SINLAKU-26,2026-04-13 12:00:00,True,false,GREEN,Northern Mariana Islands,13.1,147.4,77.16,92.592,0,0,225517,0,0,1,250,245,185,180,90,85,135,90,70,70,45,55,Hurricane/Typhoon > 74 mph
20,SINLAKU-26,2026-04-13 18:00:00,True,false,RED,Northern Mariana Islands,13.7,147.0,74.588,90.02,0,0,225517,48285,0,3,230,220,190,200,120,95,100,100,70,70,60,60,Hurricane/Typhoon > 74 mph
21,SINLAKU-26,2026-04-14 00:00:00,True,false,RED,Northern Mariana Islands,14.3,146.5,69.444,84.876,0,0,225517,48285,0,3,230,220,190,220,120,100,100,110,65,65,60,60,Hurricane/Typhoon > 74 mph
22,SINLAKU-26,2026-04-14 06:00:00,True,false,RED,Northern Mariana Islands,14.6,146.0,66.872,82.304,0,49470,225517,50254,0,3,230,220,200,220,120,100,100,110,55,65,40,55,Hurricane/Typhoon > 74 mph
23,SINLAKU-26,2026-04-14 12:00:00,True,false,RED,Northern Mariana Islands,14.9,145.8,64.3,77.16,0,48312,225517,50254,0,3,230,220,200,220,120,100,100,120,55,65,40,60,Hurricane/Typhoon > 74 mph
